Time resolution is 1 ps
Time: 292745000 | State: 10 | Score:  234 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 297025000 | State: 10 | Score:  235 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 298235000 | State: 10 | Score:  235 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 300705000 | State: 10 | Score:  237 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 301925000 | State: 10 | Score:  237 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 303195000 | State: 10 | Score:  240 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 303615000 | State: 10 | Score:  243 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 303625000 | State: 10 | Score:  243 | Level:  4 | Life Span:         10 | Gen Interval:         10
Time: 303835000 | State: 10 | Score:  247 | Level:  4 | Life Span:         10 | Gen Interval:         10
Time: 304705000 | State: 10 | Score:  247 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 305325000 | State: 10 | Score:  252 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 305935000 | State: 10 | Score:  258 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 309595000 | State: 10 | Score:  263 | Level:  5 | Life Span:         60 | Gen Interval:         60
Time: 309605000 | State: 10 | Score:  263 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 310205000 | State: 10 | Score:  270 | Level:  6 | Life Span:         60 | Gen Interval:         60
Time: 315685000 | State: 10 | Score:  270 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 316915000 | State: 10 | Score:  277 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 318135000 | State: 10 | Score:  284 | Level:  7 | Life Span:         60 | Gen Interval:         60
Time: 321175000 | State: 10 | Score:  284 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 321795000 | State: 10 | Score:  292 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 324235000 | State: 10 | Score:  300 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 326065000 | State: 10 | Score:  308 | Level:  8 | Life Span:         60 | Gen Interval:         60
Time: 326075000 | State: 10 | Score:  308 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 327285000 | State: 10 | Score:  317 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 329725000 | State: 10 | Score:  326 | Level:  9 | Life Span:         60 | Gen Interval:         60
Time: 332155000 | State: 10 | Score:  326 | Level: 10 | Life Span:         60 | Gen Interval:         60
Time: 333385000 | State: 10 | Score:  336 | Level: 10 | Life Span:         60 | Gen Interval:         60
Time: 337645000 | State: 10 | Score:  336 | Level: 11 | Life Span:         60 | Gen Interval:         60
Time: 342535000 | State: 10 | Score:  347 | Level: 11 | Life Span:         60 | Gen Interval:         60
Time: 342545000 | State: 10 | Score:  347 | Level: 12 | Life Span:         60 | Gen Interval:         60
Time: 346805000 | State: 10 | Score:  359 | Level: 12 | Life Span:         60 | Gen Interval:         60
Time: 348625000 | State: 10 | Score:  359 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 349855000 | State: 10 | Score:  372 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 353515000 | State: 10 | Score:  385 | Level: 13 | Life Span:         60 | Gen Interval:         60
Time: 353525000 | State: 10 | Score:  385 | Level: 14 | Life Span:         60 | Gen Interval:         60
Time: 354735000 | State: 10 | Score:  399 | Level: 14 | Life Span:         60 | Gen Interval:         60
Time: 359605000 | State: 10 | Score:  399 | Level: 15 | Life Span:         60 | Gen Interval:         60
Time: 365095000 | State: 10 | Score:  399 | Level:  0 | Life Span:         60 | Gen Interval:         60
Time: 438905000 | State: 10 | Score:  399 | Level:  1 | Life Span:         60 | Gen Interval:         60
Time: 444395000 | State: 10 | Score:  399 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 447275000 | State: 10 | Score:  401 | Level:  2 | Life Span:         40 | Gen Interval:         40
Time: 448085000 | State: 10 | Score:  401 | Level:  3 | Life Span:         20 | Gen Interval:         20
Time: 449975000 | State: 10 | Score:  401 | Level:  4 | Life Span:         10 | Gen Interval:         10
Time: 449985000 | State: 10 | Score:  405 | Level:  4 | Life Span:         10 | Gen Interval:         10
